degree,number of vertices
4,9
5,287
6,172
7,119
8,77
9,76
10,44
11,20
12,36
13,20
14,15
15,19
16,5
17,15
18,8
19,11
20,7
21,8
22,6
23,4
24,4
25,2
26,4
27,2
29,1
31,2
33,2
35,1
36,1
37,2
38,2
39,1
40,1
41,1
42,2
44,1
48,2
55,1
58,2
61,1
68,1
77,1
95,1
96,1
122,1
143,1
208,1
